Side,Route,Outer_window_m,Model,Full_model,Dstar_m
North,Field K,6,E,P,12.0
North,Field K,7,E,P,12.0
North,Field K,8,G,P,12.0
North,Field K,9,G,P,12.0
North,Field K,10,G,P,12.0
North,Field K,12,P,P,12.0
North,Field K,14,P,P,12.0
North,Fine LF,6,G,P,12.0
North,Fine LF,7,G,P,12.0
North,Fine LF,8,P,P,12.0
North,Fine LF,9,P,P,12.0
North,Fine LF,10,G,P,12.0
North,Fine LF,12,P,P,12.0
North,Fine LF,14,P,P,12.0
North,Fine HF,6,G,P,12.0
North,Fine HF,7,G,P,12.0
North,Fine HF,8,P,P,12.0
North,Fine HF,9,P,P,12.0
North,Fine HF,10,G,P,12.0
North,Fine HF,12,P,P,12.0
North,Fine HF,14,P,P,12.0
North,Coarse LF,6,G,G,10.0
North,Coarse LF,7,E,G,10.0
North,Coarse LF,8,P,G,10.0
North,Coarse LF,9,P,G,10.0
North,Coarse LF,10,G,G,10.0
North,Coarse LF,12,G,G,10.0
North,Coarse LF,14,G,G,10.0
North,Coarse HF,6,G,G,10.0
North,Coarse HF,7,E,G,10.0
North,Coarse HF,8,P,G,10.0
North,Coarse HF,9,P,G,10.0
North,Coarse HF,10,G,G,10.0
North,Coarse HF,12,G,G,10.0
North,Coarse HF,14,G,G,10.0
South,Field K,6,G,P,9.0
South,Field K,7,G,P,9.0
South,Field K,8,G,P,9.0
South,Field K,9,P,P,9.0
South,Field K,10,P,P,9.0
South,Field K,12,P,P,9.0
South,Field K,14,P,P,9.0
South,Fine LF,6,G,P,7.0
South,Fine LF,7,P,P,7.0
South,Fine LF,8,P,P,7.0
South,Fine LF,9,P,P,7.0
South,Fine LF,10,P,P,7.0
South,Fine LF,12,P,P,7.0
South,Fine LF,14,P,P,7.0
South,Fine HF,6,G,P,7.0
South,Fine HF,7,P,P,7.0
South,Fine HF,8,P,P,7.0
South,Fine HF,9,P,P,7.0
South,Fine HF,10,P,P,7.0
South,Fine HF,12,P,P,7.0
South,Fine HF,14,P,P,7.0
South,Coarse LF,6,G,P,8.0
South,Coarse LF,7,G,P,8.0
South,Coarse LF,8,P,P,8.0
South,Coarse LF,9,P,P,8.0
South,Coarse LF,10,P,P,8.0
South,Coarse LF,12,P,P,8.0
South,Coarse LF,14,P,P,8.0
South,Coarse HF,6,G,P,9.0
South,Coarse HF,7,G,P,9.0
South,Coarse HF,8,G,P,9.0
South,Coarse HF,9,P,P,9.0
South,Coarse HF,10,P,P,9.0
South,Coarse HF,12,P,P,9.0
South,Coarse HF,14,P,P,9.0
